Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,BARRIOS,570,1,ES,,,STUR,HRD,0.395,8,6,0.008865248,0.008865248,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,ABO¿O 2,562,1,ES,,,STUR,HRD,0.395,8,6,0.008865248,0.008865248,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,EGASNE1,480,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FFIBGES,455,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EGASNE0,447,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SALLENT G,439,1,ES,,,HDAM,WAT,0.85,0,0,0.201342282,0.201342282,0,,0,0,0.85,0.3,0,,,,,,,,,30730,0,0,0,,,,,,,,
,PBCN1,435,1,ES,,,COMC,GAS,0.525,5,1,0.025678161,0.025678161,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,PBCN2,431,1,ES,,,COMC,GAS,0.58,2,2,0.03235498,0.03235498,15000,,0,0.451388889,0.435,2,0.44,,,,,,,,,,,,,,,,,,,,
,SOTO5,428,1,ES,,,COMC,GAS,0.525,5,1,0.026159251,0.026159251,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SOTORIBE 4,426,1,ES,,,COMC,GAS,0.525,5,1,0.026220657,0.026220657,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,HC-HIDRAUL,425,1,ES,,,HDAM,WAT,0.85,0,0,0.213776722,0.213776722,0,,0,0,0.85,0.3,0,,,,,,,,,29750,0,0,0,,,,,,,,
,CASTEJO1 H,425,1,ES,,,COMC,GAS,0.525,5,1,0.026282353,0.026282353,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,GUADALQUIV,424,1,ES,,,HDAM,WAT,0.85,0,0,0.213776722,0.213776722,0,,0,0,0.85,0.3,0,,,,,,,,,29680,0,0,0,,,,,,,,
,PVENT1,420,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,TAJOENC B,420,1,ES,,,HPHS,WAT,0.86,0,0,0.721153846,0.721153846,0,,0,0,0.86,0.3,0,,,,,,,,,29400,0,420,0.86,,,,,,,,
,CASTEJO3 H,418,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,FV 100EGPE,418,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ESC CART 1,418,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESC CART 2,418,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,TARRAG IB,417,1,ES,,,COMC,GAS,0.585,2,2,0.032142857,0.032142857,15000,,0,0.436450839,0.43875,2,0.44,,,,,,,,,,,,,,,,,,,,
,MALA1,416,1,ES,,,COMC,GAS,0.51,4,1,0.024096386,0.021686747,121659.9542,,0,0.489156627,0.52,0,0.40524105,,,,,,,,,,,,,,,,,,,,
,Plana del Vent,414,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESC CART 3,413,1,ES,,,COMC,GAS,0.525,5,1,0.027046005,0.027046005,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SIL B,412,1,ES,,,HPHS,WAT,0.86,0,0,0.721153846,0.721153846,0,,0,0,0.86,0.3,0,,,,,,,,,28840,0,412,0.86,,,,,,,,
,BESOS 3,412,1,ES,,,COMC,GAS,0.51,4,4,0.036407767,0.02026699,68516.27564,,0,0.631067961,0.53,0,0.405133848,,,,,,,,,,,,,,,,,,,,
,SAGU2,412,1,ES,,,COMC,GAS,0.51,4,4,0.036407767,0.02026699,68516.27564,,0,0.631067961,0.53,0,0.405133848,,,,,,,,,,,,,,,,,,,,
,SAGU3,411,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,SAGU1,410,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESCCC1,403,1,ES,,,COMC,GAS,0.50443962,4,4,0.030940594,0.025074257,97995.99542,,0,0.48019802,0.52,0,1.370290248,,,,,,,,,,,,,,,,,,,,
,SANROQUE2,402,1,ES,,,COMC,GAS,0.525,5,1,0.027855362,0.027855362,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ESC GDF 2,401,1,ES,,,COMC,GAS,0.525,5,1,0.027855362,0.027855362,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SALLENT B,400,1,ES,,,HPHS,WAT,0.86,0,0,0.721153846,0.721153846,0,,0,0,0.86,0.3,0,,,,,,,,,28000,0,400,0.86,,,,,,,,
,BESOS 4,400,1,ES,,,COMC,GAS,0.525,5,1,0.027925,0.027925,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SANTURCE 4,396,1,ES,,,COMC,GAS,0.525,5,1,0.028278481,0.028278481,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ESC GDF 3,395,1,ES,,,COMC,GAS,0.525,5,1,0.028278481,0.028278481,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ARRUBAL1,395,1,ES,,,COMC,GAS,0.525,5,1,0.028278481,0.028278481,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,EMEDI,395,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SOLARMULA,393,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,CAMPGIB1,393,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,SABON 3,391,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,PALOS3,391,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,COLON 4,391,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ARRUBAL2,390,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,SANROQUE1,390,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ARCOS1,389,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,PALOS2,389,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,GNF TAJO,388,1,ES,,,HDAM,WAT,0.85,0,0,0.234375,0.234375,0,,0,0,0.85,0.3,0,,,,,,,,,27160,0,0,0,,,,,,,,
,CAMPGIB2,388,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,PALOS1,387,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ACECA 3 IB,386,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,GNF GALCOS,385,1,ES,,,HDAM,WAT,0.85,0,0,0.234375,0.234375,0,,0,0,0.85,0.3,0,,,,,,,,,26950,0,0,0,,,,,,,,
,TAJO B,380,1,ES,,,HPHS,WAT,0.86,0,0,0.783289817,0.783289817,0,,0,0,0.86,0.3,0,,,,,,,,,26600,0,380,0.86,,,,,,,,
,CASTEJO2 I,379,1,ES,,,COMC,GAS,0.562,2,2,0.027777778,0.027777778,15000,,0,0.582010582,0.4215,2,0.44,,,,,,,,,,,,,,,,,,,,
,TAJOENC G,377,1,ES,,,HDAM,WAT,0.85,0,0,0.234375,0.234375,0,,0,0,0.85,0.3,0,,,,,,,,,26390,0,0,0,,,,,,,,
,EBRACC1,376,1,ES,,,HDAM,WAT,0.85,0,0,0.234375,0.234375,0,,0,0,0.85,0.3,0,,,,,,,,,26320,0,0,0,,,,,,,,
,ARCOS2,373,1,ES,,,COMC,GAS,0.525,5,1,0.029707447,0.029707447,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
,ACECA 4 UF,373,1,ES,,,COMC,GAS,0.525,5,1,0.029707447,0.029707447,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
,MOL EBRO,361,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,AGUAYO G,360,1,ES,,,HDAM,WAT,0.85,0,0,0.25,0.25,0,,0,0,0.85,0.3,0,,,,,,,,,1000,0,0,0,,,,,,,,
,FGASNE2,360,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,AGUAYO B,360,1,ES,,,HPHS,WAT,0.86,0,0,0.833333333,0.833333333,0,,0,0,0.86,0.3,0,,,,,,,,,1000,0,360,0.86,,,,,,,,
,SOTORIBE 3,346,1,ES,,,STUR,HRD,0.395,8,6,0.014492754,0.014492754,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,ABO¿O 1,342,1,ES,,,STUR,HRD,0.395,8,6,0.014492754,0.014492754,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,EREPSOL,335,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,UGH EON,331,1,ES,,,HDAM,WAT,0.85,0,0,0.268656716,0.268656716,0,,0,0,0.85,0.3,0,,,,,,,,,23170,0,0,0,,,,,,,,
,FGIBGES,302,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EGECAM,300,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FREGP2,292,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,RWESZN,281,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ELBOGA,280,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,PV AUDAX,280,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ECT2,275,1,ES,,,COMC,GAS,0.525,5,1,0.040179856,0.040179856,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,FGENIA,250,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FTASOL,244,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFGASN,227,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,GUILLENA B,225,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,15750,0,225,0.86,,,,,,,,
,MORALET G,219,1,ES,,,HDAM,WAT,0.85,0,0,0.420560748,0.420560748,0,,0,0,0.85,0.3,0,,,,,,,,,15330,0,0,0,,,,,,,,
,MORALET B,219,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,15330,0,219,0.86,,,,,,,,
,GUADIANA,219,1,ES,,,HDAM,WAT,0.85,0,0,0.420560748,0.420560748,0,,0,0,0.85,0.3,0,,,,,,,,,15330,0,0,0,,,,,,,,
,BOLARQUE G,215,1,ES,,,HDAM,WAT,0.85,0,0,0.420560748,0.420560748,0,,0,0,0.85,0.3,0,,,,,,,,,15050,0,0,0,,,,,,,,
,EBRO ALTO,212,1,ES,,,HDAM,WAT,0.85,0,0,0.420560748,0.420560748,0,,0,0,0.85,0.3,0,,,,,,,,,14840,0,0,0,,,,,,,,
,HCGEORS,210,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,BOLARQUE B,208,1,ES,,,HPHS,WAT,0.86,0,0,1.315789474,1.315789474,0,,0,0,0.86,0.3,0,,,,,,,,,14560,0,208,0.86,,,,,,,,
,GUILLENA G,207,1,ES,,,HDAM,WAT,0.85,0,0,0.420560748,0.420560748,0,,0,0,0.85,0.3,0,,,,,,,,,1123,0,0,0,,,,,,,,
,VALDESOLAR,206,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FV100EGHAB,203,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,PEVER,188,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FFNEXU,184,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SHEEN PV3,180,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HTARIFA,174,1,ES,,,HDAM,WAT,0.85,0,0,0.491803279,0.491803279,0,,0,0,0.85,0.3,0,,,,,,,,,12180,0,0,0,,,,,,,,
,FFWMARK,174,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FRSIGMA,170,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HABGN,169,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FVGREEN,164,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EBRACC2,162,1,ES,,,HDAM,WAT,0.85,0,0,0.566037736,0.566037736,0,,0,0,0.85,0.3,0,,,,,,,,,11340,0,0,0,,,,,,,,
,EPBUIO,161,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,COMETAS,159,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FLAISLA,158,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFEGED,155,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFEGEL2,153,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TER,151,1,ES,,,HDAM,WAT,0.85,0,0,0.566037736,0.566037736,0,,0,0,0.85,0.3,0,,,,,,,,,10570,0,0,0,,,,,,,,
,RODRIG,148,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EMOCI,144,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ECYLEO,141,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EESQUI,140,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TFIBGES,5135,1,ES,,,COMC,GAS,0.525,5,1,0.080942029,0.080942029,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
,UPRENCIERZ,135,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFEGEL1,130,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FV SABINAR,130,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,OLMEDILLA,130,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EGVENTO,128,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFPART,123,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,CLIFV48,114,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TERA-ESLA,114,1,ES,,,HDAM,WAT,0.85,0,0,0.775862069,0.775862069,0,,0,0,0.85,0.3,0,,,,,,,,,7980,0,0,0,,,,,,,,
,EOL 09,113,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ALFOZ,112,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HFGASN,110,1,ES,,,HDAM,WAT,0.85,0,0,0.825688073,0.825688073,0,,0,0,0.85,0.3,0,,,,,,,,,7700,0,0,0,,,,,,,,
,ESTELO,110,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TANES B,110,1,ES,,,HPHS,WAT,0.86,0,0,2.777777778,2.777777778,0,,0,0,0.86,0.3,0,,,,,,,,,7700,0,110,0.86,,,,,,,,
,HFIBGES,109,1,ES,,,HDAM,WAT,0.85,0,0,0.825688073,0.825688073,0,,0,0,0.85,0.3,0,,,,,,,,,7630,0,0,0,,,,,,,,
,HC XALLAS1,108,1,ES,,,HDAM,WAT,0.85,0,0,0.841121495,0.841121495,0,,0,0,0.85,0.3,0,,,,,,,,,289000,0,0,0,,,,,,,,
,EELRI,107,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EMEDI1,102,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EOLICA,101,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
